CL10A225KO8NNNC,Samsung Electro-Mechanics,603,2.2uF ±10% 16V Ceramic Capacitor X5R 0603 603 Samsung Electro-Mechanics CL10A225KO8NNNC RoHS,4000,₹0.67
CL10B105KO8NNNC,Samsung Electro-Mechanics,603,1uF ±10% 16V Ceramic Capacitor X7R 0603 603 Samsung Electro-Mechanics CL10B105KO8NNNC RoHS,4000,₹0.57
RS-03L2R00FT,FH,603,100mW 2Ω 50V Thick Film Resistor ±1% ±250ppm/℃ 0603 Chip Resistor - Surface Mount  603 FH RS-03L2R00FT RoHS,5000,₹0.29
RC0603FR-0720KL,YAGEO,603,100mW 20kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount  603 YAGEO RC0603FR-0720KL RoHS,10000,₹0.17
RC0603FR-07470RL,YAGEO,603,100mW 470Ω 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount  603 YAGEO RC0603FR-07470RL RoHS,10000,₹0.16
TCC0603X5R226M6R3CT,CCTC,603,22uF ±20% 6.3V Ceramic Capacitor X5R 0603 603 CCTC TCC0603X5R226M6R3CT RoHS,4000,₹0.97
CL10A106KP8NNNC,Samsung Electro-Mechanics,603,10uF ±10% 10V Ceramic Capacitor X5R 0603 603 Samsung Electro-Mechanics CL10A106KP8NNNC RoHS,4000,₹0.88
RC0603FR-0722RL,YAGEO,603,22Ω 100mW 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount  603 YAGEO RC0603FR-0722RL RoHS,10000,₹0.16
RC0603FR-0747RL,YAGEO,603,100mW 47Ω 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount  603 YAGEO RC0603FR-0747RL RoHS,10000,₹0.16
RC0603FR-07120RL,YAGEO,603,100mW 120Ω 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount  603 YAGEO RC0603FR-07120RL RoHS,10000,₹0.16
CRCW06032K20FKEA,VISHAY,603,100mW 2.2kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount  603 VISHAY CRCW06032K20FKEA RoHS,5000,₹0.47
SMD0603-001/60N,BORN,603,Polymeric PTC Resettable Fuse 60V 10mA Surface Mount 0603 603 BORN SMD0603-001/60N RoHS,100,₹7.57
CGA0603X5R475K160JT,HRE,603,4.7uF ±10% 16V Ceramic Capacitor X5R 0603 603 HRE CGA0603X5R475K160JT RoHS,4000,₹0.66
FRC0603F1002TS,FOJAN,603,10kΩ ±1% 100mW 0603 Thick Film Resistor 603 FOJAN FRC0603F1002TS RoHS,10000,₹0.10
YLED0603G,YONGYUTAI,603,Emerald Green LED Indication - Discrete 2.7V~3.2V 0603 603 YONGYUTAI YLED0603G RoHS,8000,₹0.60
MMZ1608B601CTAH0,TDK,603,600Ω@100MHz 1 Line Ferrite Bead 0603 500mA 400mΩ 603 TDK MMZ1608B601CTAH0 RoHS,4000,₹0.83
MPZ1608S601ATA00,TDK,603,600Ω@100MHz 1 Line Ferrite Bead 0603 1A 150mΩ 603 TDK MPZ1608S601ATA00 RoHS,8000,₹1.26
RC0603FR-071KL,YAGEO,603,100mW 1kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount  603 YAGEO RC0603FR-071KL RoHS,10000,₹0.14
RC0603FR-07330RL,YAGEO,603,100mW 330Ω 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount  603 YAGEO RC0603FR-07330RL RoHS,10000,₹0.16
FRC0603F5101TS,FOJAN,603,5.1kΩ ±1% 100mW 0603 Thick Film Resistor 603 FOJAN FRC0603F5101TS RoHS,10000,₹0.12
FRC0603F4700TS,FOJAN,603,470Ω ±1% 100mW 0603 Thick Film Resistor 603 FOJAN FRC0603F4700TS RoHS,10000,₹0.12
CL10A106MA8NRNC,Samsung Electro-Mechanics,603,10uF ±20% 25V Ceramic Capacitor X5R 0603 603 Samsung Electro-Mechanics CL10A106MA8NRNC RoHS,8000,₹1.78
GL0603UR01,Guiguang light,603,120° 20mA Red 2.4V 0603 LED Indication - Discrete  603 Guiguang light GL0603UR01 RoHS,24000,₹0.28
RK73B1JTTD161J,KOA,603,125mW 160Ω 75V Thick Film Resistor ±5% ±200ppm/℃ 0603 Chip Resistor - Surface Mount 603 KOA RK73B1JTTD161J RoHS,300,₹0.53
CL10A226MP8NUNE,Samsung Electro-Mechanics,603,22uF ±20% 10V Ceramic Capacitor X5R 0603 603 Samsung Electro-Mechanics CL10A226MP8NUNE RoHS,3000,₹1.59
CC0603KRX7R9BB221,YAGEO,603,220pF ±10% 50V Ceramic Capacitor X7R 0603 603 YAGEO CC0603KRX7R9BB221 RoHS,4000,₹0.31
CL10B104KB8NNNC,Samsung Electro-Mechanics,603,100nF ±10% 50V Ceramic Capacitor X7R 0603 603 Samsung Electro-Mechanics CL10B104KB8NNNC RoHS,4000,₹0.33
CL21A226MAYNNNE,Samsung Electro-Mechanics,805,22uF ±20% 25V Ceramic Capacitor X5R 0805 805 Samsung Electro-Mechanics CL21A226MAYNNNE RoHS,4000,₹3.57
CL21B106KPQNNNE,Samsung Electro-Mechanics,805,10uF ±10% 10V Ceramic Capacitor X7R 0805 805 Samsung Electro-Mechanics CL21B106KPQNNNE RoHS,2000,₹1.78
FVH016ADA101M0654,FOSAN,6.3x5.4,100uF ±20% 16V Aluminum Electrolytic Capacitors 6.3x5.4 FOSAN FVH016ADA101M0654 RoHS,200,₹5.16
SMAJ6.8CA,UMW,DO-214AC(SMA),10.5VC Clamp 38.1A Ipp TVS DIODE DO-214AC(SMA) DO-214AC(SMA) UMW SMAJ6.8CA RoHS,1800,₹2.55
IP5306,INJOINIC,ESOP-8,Lithium Battery I2C 2.1A ESOP-8 Battery Management  ESOP-8 INJOINIC IP5306 RoHS,150,₹34.52
STM32F405RGT6,ST,LQFP-64(10x10),ARM Cortex-M4 32 Bit 168MHz 51 LQFP-64(10x10) Microcontrollers  LQFP-64(10x10) ST STM32F405RGT6 RoHS,10,₹637.06
SK56A-LTP,MCC,SMA(DO-214AC),Diode 60V 5A Surface Mount SMA(DO-214AC) SMA(DO-214AC) MCC SK56A-LTP RoHS,150,₹23.39
USB-TYPE-C-019,DEALON,SMD,"USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount, Right Angle SMD DEALON USB-TYPE-C-019 RoHS",300,₹7.43
PC817C,GOODWORK,SMD-4P,Phototransistor Output 5kVrms 1 Channel SMD-4P SMD-4P GOODWORK PC817C RoHS,2000,₹3.16
TS1187A16015,HanElectricity,"SMD-4P,5.2x5.2mm","Tactile Switch SPST 1.6N Surface Mount SMD-4P,5.2x5.2mm HanElectricity TS1187A16015 RoHS",4000,₹0.91
ZENR3015T2R2M-2.2uH,ZE,"SMD,3x3mm","1.6A 2.2uH ±20% 60mΩ 1.6A Magnetic Shielded Inductor SMD,3x3mm Fixed Inductors  SMD,3x3mm ZE ZENR3015T2R2M-2.2uH RoHS",2000,₹3.57
ANR3015T2R2M,APV,"SMD,3x3mm","2A 2.2uH ±20% 2A Magnetic Shielded Inductor SMD,3x3mm Fixed Inductors  SMD,3x3mm APV ANR3015T2R2M RoHS",600,₹4.28
APH0630T1R0M,APV,"SMD,7x6.6mm","12A 1uH ±20% 7.4mΩ 15A Molded Inductor SMD,7x6.6mm Fixed Inductors SMD,7x6.6mm APV APH0630T1R0M RoHS",300,₹9.04
RVT1000UF10V34RV0081,KNSCHA,"SMD,D8xL10mm","1000uF ±20% 10V Aluminum Electrolytic Capacitors 2000hrs@105℃ SMD,D8xL10mm KNSCHA RVT1000UF10V34RV0081 RoHS",100,₹11.63
ABS07-32.768KHZ-6-T,ABRACON,SMD3215-2P,Crystal 32.768kHz ±20ppm 6pF 70kΩ SMD3215-2P SMD3215-2P ABRACON ABS07-32.768KHZ-6-T RoHS,30,₹94.82
X322512MSB4SI,YXC Crystal Oscillators,SMD3225-4P,Crystal 12MHz ±10ppm 20pF SMD3225-4P SMD3225-4P YXC Crystal Oscillators X322512MSB4SI RoHS,100,₹10.21
ECS-80-10-33-CHN-TR3,ECS,SMD3225-4P,Crystal 8MHz ±10ppm 10pF 400Ω SMD3225-4P SMD3225-4P ECS ECS-80-10-33-CHN-TR3 RoHS,30,₹111.94
1N4148W-7-F,DIODES,SOD-123,Diode Independent 100V 300mA Surface Mount SOD-123 SOD-123 DIODES 1N4148W-7-F RoHS,3000,₹2.45
MM1W5V1,Jingdao Microelectronics,SOD-123,Zener Diode Independent 5.1V 1W Surface Mount SOD-123 SOD-123 Jingdao Microelectronics MM1W5V1 RoHS,3000,₹3.04
CH340C,WCH,SOP-16,Transceiver 2Mbps USB 2.0 SOP-16 Interface Controllers  SOP-16 WCH CH340C RoHS,50,₹74.00
ULN2003,hengjiaxing,SOP-16,Seven channels 500mA SOP-16 Bipolar Transistor Arrays  SOP-16 hengjiaxing ULN2003 RoHS,500,₹9.56
MAX3485ESA+T-JSM,JSMSEMI,SOP-8,"3.3V Transceiver 15Mbps 32 Half-Duplex SOP-8 Drivers, Receivers, Transceivers  SOP-8 JSMSEMI MAX3485ESA+T-JSM RoHS",50,₹23.93
MMBT5551(RANGE:200-300),JSCJ,SOT-23,Bipolar (BJT) Transistor NPN 160V 600mA 300MHz 300mW Surface Mount SOT-23 SOT-23 JSCJ MMBT5551(RANGE:200-300) RoHS,3000,₹1.50
"PESD5V0L2BT,215",Nexperia,SOT-23,"26VC Clamp 13A@8/20us Ipp ESD DIODE SOT-23 SOT-23 Nexperia PESD5V0L2BT,215 RoHS",150,₹20.01
BZX84C3V6LT1G,onsemi,SOT-23,Zener Diode Independent 3.6V 250mW Surface Mount SOT-23 SOT-23 onsemi BZX84C3V6LT1G RoHS,600,₹4.38
BAT54C,JSMSEMI,SOT-23,Diode Array 1 Pair Common Cathode 30V 200mA Surface Mount SOT-23 SOT-23 JSMSEMI BAT54C RoHS,3000,₹0.95
SY8089AAAC,Silergy,SOT-23-5,1MHz Buck Adjustable 2A SOT-23-5 Voltage Regulators - DC DC Switching Regulators  SOT-23-5 Silergy SY8089AAAC RoHS,500,₹14.04
USBLC6-2P6,TECH PUBLIC,SOT-666-6,14VC Clamp 5.5A Ipp ESD DIODE SOT-666-6 SOT-666-6 TECH PUBLIC USBLC6-2P6 RoHS,150,₹16.68
LM2596S-5.0(UMW),UMW,TO-263-5,150kHz Buck Fixed 5V 3A TO-263-5 Voltage Regulators - DC DC Switching Regulators  TO-263-5 UMW LM2596S-5.0(UMW) RoHS,100,₹54.51
LM324N DIP-14,General Purpose,DIP-14,Quad Operational Amplifier General Purpose,50,₹14.78
LM339N DIP-8,Voltage,DIP-14,Quad Voltage Comparator,50,₹14.16
ULN2003AN DIP-16,Bipolar Junction Transistor (BJT),DIP-16,Darlington Transistor Array Driver,50,₹15.47
TBD62083APG DIP-18,Bipolar Junction Transistor (BJT),DIP-18,High Voltage/Current Driver Array,50,₹25.29
LM358P DIP-8,General Purpose,DIP-8,Dual Operational Amplifier,50,₹9.56
LM386 DIP-8,Power,DIP-8,Low Voltage Audio Power Amplifier,50,₹8.03
LM393 DIP-14,Voltage,DIP-8,Dual Voltage Comparator,50,₹10.71
NE5532P DIP-8,High Performance,DIP-8,Low Noise High Performance Op-Amp,50,₹19.92
NE555P DIP-8,Timers & Counters,DIP-8,Precision Timer IC,50,₹11.10
UA741CP DIP-8,General Purpose,DIP-8,General Purpose Op-Amp (Legacy),50,₹13.40
RC4558P DIP-8,General Purpose,DIP-8,Dual General Purpose Op-Amp,50,₹13.01
EL817 DIP-4,Isolation,DIP-4,Optocoupler Isolation IC,50,₹3.27
FRC0402F2103TS,FOJAN,402,62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 210k 0402 Chip Resistor - Surface Mount ROHS,10000,₹0.07
RC0402FR-071KL,YAGEO,402,62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 1kΩ 0402 Chip Resistor Surface Mount ROHS,10000,₹0.09
FRC0603F1002TS,FOJAN,603,100mW Thick Film Resistors 75V ±100ppm/°C ±1% 10kΩ 0603 Chip Resistor - Surface Mount ROHS,10000,₹0.11
RC0402FR-07100KL,YAGEO,402,62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 100ΚΩ 0402 Chip Resistor- Surface Mount ROHS,10000,₹0.09
0402WGF5101TCE,Uniohm/Royal-ohm,402,62.5mW Thick Film Resistors 50V ±100ppm/°C 1% 5.1kΩ 0402 Chip Resistor - Surface Mount ROHS,10000,₹0.07
FRC0603F1000TS,FOJAN,603,100mW Thick Film Resistors 75V ±100ppm/°C ±1% 100Ω 0603 Chip Resistor - Surface Mount ROHS,10000,₹0.11
AC0603FR-07330RL,YAGEO,603,Res Thick Film 0603 330Ω Ohm 1% 0.1W(1/10W) ±100ppm°/C Pad SMD T/R Automotive AEC-Q200,10000,₹0.18
,,,,,
(Note: The shipping charge for Bluedart Road was omitted as it is a service fee rather than a component.),,,,,
